title,listed_in,description,new_description,cluster_id,,,
Tears of the Sun,"Action & Adventure, Dramas","A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care.",a navy seal is sent to a war torn african jungle to rescue a doctor only to realize he must also save the refugees in the physician s care,7,,,
The Blue Lagoon,"Dramas, Romantic Movies","Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise.",two shipwrecked children stranded for years on a deserted island fall in love as teenagers and attempt to forge a life in the isolated paradise,9,,,
The Golden Child,"Action & Adventure, Comedies",A fast-talking L.A. social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers.,a fast talking l a social worker goes through a series of traps and terrors to find a kidnapped tibetan child with mystical powers,10,,,
The Guns of Navarone,"Action & Adventure, Classic Movies","During World War II, British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel.",during world war ii british forces launch an attack designed to take out the massive nazi cannons that guard a critical sea channel,15,,,
The Interview,"Action & Adventure, Comedies",Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un.,seth rogen and james franco star in this provocative comedy about two journalists recruited by the cia after they arrange an interview with kim jong un,6,,,
The Nutty Professor,"Comedies, Romantic Movies","After being made fun of for his weight, a kind and brainy professor takes a dose of a revolutionary formula that changes more than just his appearance.",after being made fun of for his weight a kind and brainy professor takes a dose of a revolutionary formula that changes more than just his appearance,6,,,
The Nutty Professor II: The Klumps,"Comedies, Romantic Movies","After getting engaged, Sherman Klump prepares for his big day. But his sinister alter ego Buddy Love threatens to ruin his wedding and reputation.",after getting engaged sherman klump prepares for his big day but his sinister alter ego buddy love threatens to ruin his wedding and reputation,0,,,
Welcome Home Roscoe Jenkins,Comedies,"R.J. travels to Georgia for his parents' 50th anniversary. But after pompously flaunting his Hollywood lifestyle, he must examine what he's become.",r j travels to georgia for his parents 50th anniversary but after pompously flaunting his hollywood lifestyle he must examine what he s become,5,,,
In the Line of Fire,"Action & Adventure, Classic Movies",A twisted yet ingenious killer torments a veteran Secret Service agent who's haunted by his failure years ago to save President John F. Kennedy.,a twisted yet ingenious killer torments a veteran secret service agent who s haunted by his failure years ago to save president john f kennedy,15,,,
Untold: Crime & Penalties,"Documentaries, Sports Movies","They were the bad boys of hockey â€” a team bought by a man with mob ties, run by his 17-year-old son, and with a rep for being as violent as they were good.",they were the bad boys of hockey â€” a team bought by a man with mob ties run by his 17 year old son and with a rep for being as violent as they were good,11,,,
2 Alone in Paris,"Comedies, International Movies","A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth.",a bumbling paris policeman is doggedly determined to capture the master thief that repeatedly eludes him even when they re the last two men on earth,22,,,
Thimmarusu,"Dramas, International Movies","Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit.",eight years after a young man is framed for murder an up and coming lawyer re opens the case beginning a tricky mission to find the real culprit,19,,,
Wind River,"Dramas, Independent Movies",A tracker with the U.S. Fish and Wildlife Service assists a rookie FBI agent who's investigating a teen girl's murder on a remote Wyoming reservation.,a tracker with the u s fish and wildlife service assists a rookie fbi agent who s investigating a teen girl s murder on a remote wyoming reservation,19,,,
C Kkompany,"Action & Adventure, Comedies, International Movies","Three broke friends pose as an underworld gang for extortion, but their plan takes on a life of its own when their phony company becomes famous.",three broke friends pose as an underworld gang for extortion but their plan takes on a life of its own when their phony company becomes famous,22,,,
EMI: Liya Hai To Chukana Padega,"Comedies, Dramas, International Movies",A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.,a bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans,23,,,
He's All That,"Comedies, Romantic Movies","An influencer specializing in makeovers bets she can transform an unpopular classmate into prom king in this remake of the teen classic ""She's All That.""",an influencer specializing in makeovers bets she can transform an unpopular classmate into prom king in this remake of the teen classic she s all that,24,,,
Koi Aap Sa,"Comedies, Dramas, International Movies","Star athlete Rohan has his eye on a beautiful art student. But when his best friend Simran experiences a crisis, he drops everything to help her.",star athlete rohan has his eye on a beautiful art student but when his best friend simran experiences a crisis he drops everything to help her,24,,,
